<<<<<<< HEAD
ps0015,Έκδοση Visa Ακτής Ελεφαντοστού,"Η Visa Ακτής Ελεφαντοστού είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0016,Έκδοση Visa Καμερούν,"Η Visa Καμερούν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0017,Έκδοση Visa Κονγκό,"Η Visa Κονγκό είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0018,Έκδοση Visa Κομόρες,"Η Visa Κομόρες είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0019,Έκδοση Visa Πράσινου Ακρωτήριου,"Η Visa Πράσινου Ακρωτήριου είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0020,Έκδοση Visa Κούβας,"Η Visa Κούβας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0021,Έκδοση Visa Τζιμπουτί,"Η Visa Τζιμπουτί είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0022,Έκδοση Visa Δομινικανής Δημοκρατίας,"Η Visa Δομινικανής Δημοκρατίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0023,Έκδοση Visa Αλγερίας,"Η Visa Αλγερίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0024,Έκδοση Visa Ισημερινού,"Η Visa Ισημερινού είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0025,Έκδοση Visa Αίγυπτου,"Η Visa Αίγυπτου είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0026,Έκδοση Visa Ερυθραίας,"Η Visa Ερυθραίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0027,Έκδοση Visa Αιθιοπίας,"Η Visa Αιθιοπίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0028,Έκδοση Visa Φίτζι,"Η Visa Φίτζι είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0029,Έκδοση Visa Γκαμπόν,"Η Visa Γκαμπόν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0030,Έκδοση Visa Γκάνας,"Η Visa Γκάνας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0031,Έκδοση Visa Γουινέας,"Η Visa Γουινέας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0032,Έκδοση Visa Γουινέας Μπισάου,"Η Visa Γουινέας Μπισάου είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0033,Έκδοση Visa Ισημερινής Γουινέας,"Η Visa Ισημερινής Γουινέας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0034,Έκδοση Visa Γκάμπια,"Η Visa Γκάμπια είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0035,Έκδοση Visa Γαλλικής Γουιάνας,"Η Visa Γαλλικής Γουιάνας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0036,Έκδοση Visa Συνεργατικής Δημοκρατίας της Γουιάνα,"Η Visa Συνεργατικής Δημοκρατίας της Γουιάνα είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0037,Έκδοση Visa Αϊτής,"Η Visa Αϊτής είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0038,Έκδοση Visa Ινδονησίας,"Η Visa Ινδονησίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0039,Έκδοση Visa Ινδίας,"Η Visa Ινδίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0040,Έκδοση Visa Ιράν,"Η Visa Ιράν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0041,Έκδοση Visa Ιράκ,"Η Visa Ιράκ είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0042,Έκδοση Visa Τζαμάικας,"Η Visa Τζαμάικας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0043,Έκδοση Visa Ιορδανίας,"Η Visa Ιορδανίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0044,Έκδοση Visa Κένυας,"Η Visa Κένυας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0045,Έκδοση Visa Καμπότζης,"Η Visa Καμπότζης είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0046,Έκδοση Visa Κουβέιτ,"Η Visa Κουβέιτ είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0047,Έκδοση Visa Λάος,"Η Visa Λάος είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0048,Έκδοση Visa Λίβανου,"Η Visa Λίβανου είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0049,Έκδοση Visa Λιβερίας,"Η Visa Λιβερίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0050,Έκδοση Visa Λιβύης,"Η Visa Λιβύης είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0051,Έκδοση Visa Σρι Λάνκα,"Η Visa Σρι Λάνκα είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0052,Έκδοση Visa Μαδαγασκάρης,"Η Visa Μαδαγασκάρης είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0053,Έκδοση Visa Μαλδίβων,"Η Visa Μαλδίβων είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0054,Έκδοση Visa Μάλι,"Η Visa Μάλι είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0055,Έκδοση Visa Μογγολίας,"Η Visa Μογγολίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0056,Έκδοση Visa Μοζαμβίκης,"Η Visa Μοζαμβίκης είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0057,Έκδοση Visa Μαυριτανίας,"Η Visa Μαυριτανίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0058,Έκδοση Visa Μαλάουι,"Η Visa Μαλάουι είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0059,Έκδοση Visa Ναμίμπιας,"Η Visa Ναμίμπιας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0060,Έκδοση Visa Νίγηρα,"Η Visa Νίγηρα είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0061,Έκδοση Visa Νιγηρίας,"Η Visa Νιγηρίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0062,Έκδοση Visa Νεπάλ,"Η Visa Νεπάλ είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0063,Έκδοση Visa Ναουρού,"Η Visa Ναουρού είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0064,Έκδοση Visa Ομάν,"Η Visa Ομάν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0065,Έκδοση Visa Πακιστάν,"Η Visa Πακιστάν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0066,Έκδοση Visa Κατάρ,"Η Visa Κατάρ είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0067,Έκδοση Visa Ρωσίας,"Η Visa Ρωσίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0068,Έκδοση Visa Ρουάντας,"Η Visa Ρουάντας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0069,Έκδοση Visa Σαουδικής Αραβίας,"Η Visa Σαουδικής Αραβίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0070,Έκδοση Visa Σουδάν,"Η Visa Σουδάν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0071,Έκδοση Visa Σενεγάλης,"Η Visa Σενεγάλης είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0072,Έκδοση Visa Σομαλίας,"Η Visa Σομαλίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0073,Έκδοση Visa Σουρινάμ,"Η Visa Σουρινάμ είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0074,Έκδοση Visa Συρίας,"Η Visa Συρίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0075,Έκδοση Visa Τσαντ,"Η Visa Τσαντ είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0076,Έκδοση Visa Τόγκο,"Η Visa Τόγκο είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0077,Έκδοση Visa Τατζικιστάν,"Η Visa Τατζικιστάν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0078,Έκδοση Visa Τουρκμενιστάν,"Η Visa Τουρκμενιστάν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0079,Έκδοση Visa Τανζανίας,"Η Visa Τανζανίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0080,Έκδοση Visa Ουγκάντας,"Η Visa Ουγκάντας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0081,Έκδοση Visa Ουζμπεκιστάν,"Η Visa Ουζμπεκιστάν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0082,Έκδοση Visa Βιετνάμ,"Η Visa Βιετνάμ είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0083,Έκδοση Visa Υεμένης,"Η Visa Υεμένης είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0084,Έκδοση Visa Ζάμπια,"Η Visa Ζάμπια είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0085,Έκδοση Visa Ζιμπάμπουε,"Η Visa Ζιμπάμπουε είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
>>>>>>> 0da209a65d0dd8ad87df09e1cf051509219da58b
