identifier,name,description
Ev0130,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : https://www.upatras.gr/wp-content/uploads/Aitisi-ΕΚΚΑ-upatras.pdf
Ev0131,Για φοιτητές που μετακινούνται στο πλαίσιο προγράμματος σπουδών (Erasmus, κ.λ.π): Βεβαίωση συμμετοχής από το Τμήμα Διεθνών Σχέσεων του Πανεπιστημίου Πατρών για το συγκεκριμένο πρόγραμμα και τη διάρκειά  του.,
Ev0132,Υπεύθυνη Δήλωση του Ν .1599/1986 (αρχείο pdf) ή μέσω της πλατφόρμας GOV.GR ,Υπόδειγμα στην τοποθεσία : https://www.upatras.gr/wp-content/uploads/YD-1599-1986.pdf
Ev0133,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : http://www.interel.uoa.gr/fileadmin/interel.uoa.gr/uploads/NEAAitisiEKAA2018.pdf
Ev0134,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : http://www.asfa.gr/images/Files/aithsh-ekdoshs-eu-card.pdf
Ev0135,Βεβαίωση σπουδών από τη Γραμματεία του Τμήματος ότι έχουν ενεργή τη φοιτητική ιδιότητα (το πιστοποιητικό αυτό μπορεί να αναζητηθεί αυτεπάγγελτα από το Τμήμα Σπουδών και Φοιτητικής Μέριμνας).,
Ev0136,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία  : https://www.panteion.gr/wp-content/uploads/2021/02/Δ2-ΥΠΟΔΕΙΓΜΑ-1-ΑΙΤΗΣΗ-ΕΚΔΟΣΗΣ-ΕΥΡΩΠΑΙΚΗΣ-ΚΑΡΤΑΣ-ΑΣΦΑΛΙΣΗΣ-ΕΚΑΑ.docx
Ev0137,Υπεύθυνη Δήλωση,Υπόδειγμα στην τοποθεσία : https://www.panteion.gr/wp-content/uploads/2021/02/Δ3-ΥΠΟΔΕΙΓΜΑ-2ΥΠΕΥΘΥΝΗ-ΔΗΛΩΣΗ-ΓΙΑ-ΤΗΝ-ΕΚΔΟΣΗ-ΕΚΑΑ.doc
Ev0138,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : https://www.unipi.gr/unipi/images/various/dieuth_spoudwn/europaiki_karta_asfalisis/ΑΙΤΗΣΗ_ΕΥΡΩΠΑΙΚΗΣ_ΚΑΡΤΑΣ_ΑΣΦΑΛIΣΗΣ_ΑΣΘΕΝΕΙΑΣ_ΥΠΟΔΕΙΓΜΑ_1.pdf
Ev0139,Υπεύθυνη Δήλωση ,https://www.unipi.gr/unipi/images/various/dieuth_spoudwn/europaiki_karta_asfalisis/Entypo_Y_D_ευρωπαικη_ΥΠΟΔΕΙΓΜΑ_2.pdf
Ev0140,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : http://www2.aua.gr/sites/default/files/contentpage_attachedfiles/aua_ait_ekdosis_evropaikis_kartas_asfalisis.pdf
Ev0141,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : https://www.hmu.gr/sites/default/files/docs/ekka_aithsh_8-3_0.doc
Ev0142,Βεβαίωση διαγραφής ή μη υπαγωγής σε άλλο ασφαλιστικό φορέα (δίνεται από τον τελευταίο ασφαλιστικό φορέα που ήταν εγγεγραμμένος ο φοιτητής).,
Ev0143,Για σπουδαστές που μετακινούνται στα πλαίσια προγράμματος σπουδών (SOCRATES-ERASMUS-LEONARDO) κ.λ.π. Βεβαίωση από το Τμήμα Δημοσίων & Διεθνών Σχέσεων του ΕΛΜΕΠΑ. για το συγκεκριμένο πρόγραμμα & την διάρκειά του.,
Ev0144,Σε περίπτωση μετακίνησης για άλλο λόγο, Υπ. Δήλωση (άρθρο 8 Ν. 1599/1986) για ποιο λόγο μετακινείται & αιτείται την (Ε.Κ.Α.Α.).,
Ev0145,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : https://ionio.gr/download.php?f=02000-02999/IU-pf-02081-81795-gr.pdf
Ev0146,Υπεύθυνη Δήλωση του ν. 1599 όπου δηλώνετε ότι «δεν έχω πλήρη ασφαλιστική επάρκεια».,Υπόδειγμα στην τοποθεσία : https://ionio.gr/download.php?f=02000-02999/IU-pf-02081-83610-gr.doc
Ev0147,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : https://merimna.uniwa.gr/wp-content/uploads/sites/279/2019/12/2653-img20190308_10493214.pdf
Ev0148,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : https://studies.aegean.gr/sites/studies.aegean.gr/files/ekaa_aitisi.doc
Ev0149,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,https://www.ihu.gr/wp-content/uploads/2021/01/ypodeigma-1-Aitisi-Evrop-Kartas.doc
Ev0150,Βεβαίωση συμμετοχής του ενδιαφερομένου σε συγκεκριμένο πρόγραμμα, καθώς και της διάρκειάς του, από την αρμόδια υπηρεσία του ΔΙ.ΠΑ.Ε. π.χ. το αντίστοιχο Τμήμα Ευρωπαϊκών και Διεθνών Προγραμμάτων.,
Ev0151,Αίτηση και Υπεύθυνη Δήλωση του Ν.1599/ 1986,Υπόδειγμα στην τοποθεσία : http://foitmer.uop.gr/wp-content/uploads/2020/08/aitisi-europaiki.doc Οδηγίες για την συμπλήρωση της αίτησης : http://foitmer.uop.gr/wp-content/uploads/2020/08/odigies-aitisi.doc
Ev0152,Βιβλιάριο Υγειονομικής Περίθαλψης του Πανεπιστημίου Πελοποννήσου,
Ev0153,Για σπουδαστές που μετακινούνται στα πλαίσια προγράμματος σπουδών (ERASMUS κ.λ.π.) Βεβαίωση από  το αρμόδιο τμήμα για το συγκεκριμένο πρόγραμμα & την διάρκειά του.,
Ev0154,Για αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Πρότυπο στην τοποθεσία : https://www.uom.gr/assets/site/public/nodes/5461/2653-img20190308_10493214.pdf
